source_file,row_or_feature_count,sha256,source_content,s1_dependency,audit_status,claim_boundary
s1_01_ancient_dna_plotted_points.csv,475,363f1089d098a7a56eeb60c125c2bf4e023c5826dcc70681c515083c1ffc93ff,Published ancient-DNA sample coordinates and marker annotations plotted in S1,Map panel background and visible E-V13/J2b/R1b/G2a comparator points,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_02_ph908_relic_footprint_locality_points.csv,11,d83f729cb8c99e5f96d5c235d13b2ac62cae7372505a41e67ce129868689e479,Branch-derived PH908 relic-footprint locality points plotted in S1,Map panel PH908 relic-footprint points and convex envelope,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_03_visibility_directness_by_region.csv,4,2f9e77d597d28a31fe9320ad7fa009fcf734c67ca18857b47ead9b1153dfb19c,Regional ancient-DNA directness and nearest-comparator summary,Direct negative-control table panel,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_04_direct_negative_control_candidate_trace.csv,4,b7f500d3d849e30f5bf07525b48d459fda555f4ac03b15b9f2edf1104264cb2e,Row-level direct negative-control eligibility trace by region,Direct negative-control table panel and interpretation boundary,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_05_row_level_elevation_source_data.csv,632,845a694efb1a923b64ba679aedfff9a439976b5796c9a9c6ccd8139c2b5c8790,"Row-level elevation source rows for ancient samples, visible comparators, and PH908 relic localities",Row-level elevation checks and effect-size audit trace,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_06_unique_site_elevation_source_data.csv,168,6977466875f389dd4a6dd132080b297e0ee758e2af7690ba22a4ac9e2283c66b,"Unique-site elevation source rows for ancient-DNA sites, visible comparator sites, and PH908 relic localities",Elevation-band panel source rows,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_07_elevation_band_summary.csv,12,130d8a5b983ec75de38dd21f34b4b3f45cd490e8197acc593b1f1af0a94bb1ef,Unique-site elevation-band counts and shares,Elevation-band panel,"Generated from audited S1 elevation source rows; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_08_elevation_effect_size_tests.csv,4,d3f2e9c14e10edd725de126db897ae8e3b8ed1eb6abd452df3eb457207fb75a7,Elevation effect-size tests retained for S1 source audit,Supporting audit table; not required for plotted bar heights,"Generated from audited S1 elevation source rows; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_09_elevation_threshold_exact_tests.csv,6,03376a097cefa8325836f5e31f3a6670b3d03745b44782288b484155992f5898,Elevation threshold exact tests for highland share claims,Supporting audit table for >=500 m and >=800 m claims,"Generated from audited S1 elevation source rows; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
geodata/s1_10_natural_earth_admin0_countries.geojson,258,239eec57ac17f100a11e2536cffc56752c318b50ae765b0918ff7aab4ce8f255,Natural Earth administrative country boundaries clipped at render time,Map base layer,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_11_supplementary_figure_s1_value_validation.csv,58,c7a1af258bef3ec43b272b68cb7501d5ef28746adf1c63b9e0d979436d1353e3,Machine-checkable audit of every S1 numerical and source dependency,Claim verification trace,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_12_ancient_dna_point_level_quality_control_audit.csv,475,5c9438aca24834a3d195952655efe9f888be870398234e299cbeb9cd0997730f,Point-level QA for every plotted ancient-DNA sample row,Audit trace for every ancient-DNA point plotted in S1,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_13_ph908_relic_locality_quality_control_audit.csv,11,61e4a0c0e2b4ecca143e24bb6db9c18d1ade3823f8d029d1f920cf348627a898,Point-level QA for every PH908 relic-footprint locality row,Audit trace for every PH908 relic locality plotted in S1,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_14_ancient_dna_source_reference_coverage.csv,20,378718cf4b6f823b96b62440c39b9c80f7060bb057550f67ffecdd7c7c04a487,Coverage table for every ancient-DNA source publication label represented in S1,Source-reference DOI/URL coverage audit for S1 plotted points,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_15_aadr_v66_source_rows_used_for_s1.csv,409,139defb2642ee8eb73875fd56e32475edbbf757dbd27ef9740480f755af11153,Tidy subset of local AADR v66 public annotation rows used by Supplementary Figure S1,Root source-row trace for AADR-backed plotted ancient-DNA points,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_16_non_aadr_supplement_source_rows_used_for_s1.csv,66,9033a8982d13a3fc9fb1190a5c0b9bfb8cd37a2a8d90dae180ec00733372d373,Tidy source trace for Supplementary Figure S1 points not present in local AADR v66,Root source-row trace for direct supplementary-source plotted ancient-DNA points,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
s1_17_ph908_relic_locality_calculation_trace.csv,11,38ee4e25a1bac60268d1c7525152ce8d0e7442bb96593e58afe7f214529a9dc5,Row-level recalculation trace for PH908 relic-locality elevation and nearest-proxy metrics,Relic-locality calculation audit,"Clean source file prepared; row counts, key calculations, and claim boundaries verified from current S1 source bundle","Supplementary Figure S1 source-data dependency only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
