"term","category","definition","use_in_analysis","examples_in_current_analysis"
"Scoreable branch-resolved layer","Evidence layer","Public tree layer contains branch labels and geographic metadata sufficient for source-adequacy testing and receiver–source Q2 evaluation","Can support source-receiver inference under predefined geographic masks","YFull; HRAS/YSEQ"
"Bounded direct-child layer","Evidence layer","Public tree layer supports source-adequacy assessment and direct-child country structure, but not terminal branch–country Q2 evaluation","Can support source-adequacy assessment and triangulation, but not full terminal-level Q2 evaluation","FTDNA Discover"
"Receiver-side regional layer","Evidence layer","Dataset has dense receiver-region geographic coverage but insufficient source-side observations","Supports receiver-region structure but not full source-receiver replication","Srpski DNK"
"Topology-only layer","Evidence layer","Tree topology is visible, but geography-bearing terminal observations are unavailable or insufficient","Supports topology assessment only","UYSD"
"Load-bearing eligibility threshold","Decision criterion","A new lineage-level result can be treated as load-bearing evidence only if source and receiver terminal counts are each at least 25, source and receiver country counts are each at least 3, the source-adequacy statistic is greater than 1, the predefined diversity-contrast statistic D is negative, the upper bound of the equal-n rarefaction interval remains below 0, the predefined geographic permutation test yields p ≤ 0.05, and the preassigned lineage role is neither support-only nor boundary","Rows that do not meet all conditions remain classified as supporting, boundary, or no-call rather than being promoted on the basis of directional compatibility alone","Strict source-receiver eligibility gate"
"Support-only diagnostic context","Decision state","The comparison is directionally compatible at broad public labels but does not meet branch-unit reliability criteria after compression","Reported as support-only evidence rather than validation","O-M119/O-M122"
"Boundary/stress context","Decision state","The comparison is historically relevant but does not satisfy the criteria for load-bearing source-receiver inference","Reported as a scope boundary rather than as validation or model failure","E-V13; R-Z93; J-M172"
"No-call: insufficient source-side representation","No-call state","Source-side terminal or branch representation is insufficient for the stated test","No source-receiver conclusion is drawn","Low source-visibility candidate lineages"
"No-call: overlapping source and receiver masks","No-call state","Source and receiver masks cannot be separated without post hoc or arbitrary tuning","No source-receiver conclusion is drawn","Corridor-heavy comparisons"
"No-call: broad lineage root","No-call state","The lineage root is too broad for the stated source-receiver model","No source-receiver conclusion is drawn","Broad, mixed-structure lineages"
"Ancient-DNA directness boundary","Boundary state","Published ancient-DNA sampling does not satisfy the predefined geographic, chronological, phylogenetic-elevation, and directness requirements","Absence from currently published ancient-DNA sampling is not treated as direct negative evidence","Pre-550 PH908 branch-derived visibility audit"
