file_order,file_path,row_count,sha256,file_role,derivation_or_source_rule,audit_status,claim_boundary
1,source_data/figure_3/fig3_01_headline_coordinates.csv,9,1f08d959b7cd3795520d6fd033ad300a44aeb0c05b6f74790245c2eefd437686,Figure 3 headline coordinate source,Derived from Table 4 headline-coordinate rows for I-PH908 R-Z280 and R-M458 across YFull HRAS/YSEQ and FTDNA Discover.,Generated source file recorded; hash and row count verified.,"Figure 3 source-data dependency only; not evidence of exact geographic origin, ethnic identity, population continuity, migration route, or ancient-DNA confirmation."
2,source_data/figure_3/fig3_02_primary_yfull_plot_values.csv,3,16359f1adc42d5bf259d47add96e91348a479d1a6a8921a477de4513a8326b72,Figure 3 primary YFull plotted values,Derived from Table 4 YFull primary comparison rows for I-PH908 R-Z280 and R-M458.,Generated source file recorded; hash and row count verified.,"Figure 3 source-data dependency only; not evidence of exact geographic origin, ethnic identity, population continuity, migration route, or ancient-DNA confirmation."
3,source_data/figure_3/fig3_03_supporting_layer_values.csv,6,0b47b431e06f83d81aa34f0fb593b5daead83cc600cd634809ea9416b0203a9b,Figure 3 supporting-layer source values,Derived from Table 4 HRAS/YSEQ and FTDNA Discover rows for I-PH908 R-Z280 and R-M458.,Generated source file recorded; hash and row count verified.,"Figure 3 supporting-source dependency only; not independent population-representative sampling, terminal-Q2 replication for FTDNA, or ancient-DNA confirmation."
4,source_data/figure_3/fig3_04_specificity_and_calibration_trace.csv,9,983a60e421bf967ae8148c3f03d46b39e5a10a58359432fca06e5799aeecdfa1,Figure 3 specificity and calibration trace,Generated by scripts/04_generate_figure3_specificity_calibration.py from repo-contained Figure 3 specificity/calibration source inputs and Table 5 row metadata.,Generated source file recorded; hash and row count verified.,Figure 3 calibration dependency only; empirical flag rates are not population-level false-positive rates.
5,source_data/figure_3/fig3_05_figure3_value_validation.csv,18,e8aad3fa95cd827e3e3b03a8ba58fff43bde81872120aa0ec5f98887d2a13fc9,Figure 3 source-bundle value validation,"Checks row counts, primary YFull direction, HRAS/YSEQ direction, FTDNA bounded status, margin separation, permutation support, preferred T95 calibration, missing values, and branch-unit overlay stability patterns.",Generated source file recorded; hash and row count verified.,"Figure 3 audit dependency only; not evidence of exact geographic origin, ethnic identity, population continuity, migration route, or ancient-DNA confirmation."
6,source_data/figure_3/fig3_06_branch_unit_stability_overlay.csv,18,0fcbb87db900cf3df892b1398179ce4760f1dbc2eece6ee1ac0ab22121447182,Figure 3 branch-unit stability overlay,Generated by scripts/03_generate_branch_unit_reliability_tables.py from Tables 11 and 12 for I-PH908 R-Z280 and R-M458 across six evaluated branch-resolution layers.,Generated source file recorded; hash and row count verified.,"Figure 3 branch-unit stability dependency only; not confidence or rarefaction evidence and not evidence of exact geographic origin, ethnic identity, population continuity, or migration route."
7,source_data/figure_3/fig3_source_bundle_note.md,not_applicable,e8d17121ef1cbdcb599ae70630353b6842f8fa1ff47fa5cec39cf02ebe717240,Figure 3 source-bundle note,Defines source-bundle scope and interpretation boundaries including branch-unit stability dots.,Source note recorded; hash verified.,"Figure 3 source-data dependency only; not evidence of exact geographic origin, ethnic identity, population continuity, migration route, or ancient-DNA confirmation."
8,tables/04_source_layers_and_headline_coordinates.csv,15,68389177cb9d37982e63c5cd3c58bbfda75e565f6e285192e7826e865cbe87e3,Generated source-layer and headline-coordinate table,"Generated by scripts/02_generate_source_layer_headline_coordinates.py from repo-contained YFull, HRAS/YSEQ, and FTDNA Discover source inputs.",Generated table dependency recorded; hash and row count verified.,"Figure 3 source-data dependency only; not evidence of exact geographic origin, ethnic identity, population continuity, migration route, or ancient-DNA confirmation."
9,tables/05_matched_r1a_comparator_calibration_summary.csv,9,7e2d821f9a6762a1bc5b9a1a87bfb29e38e2bf0bf917a357f4ae136b3cd7b719,Generated R1a-comparator-envelope calibration and robustness summary,Generated by scripts/04_generate_figure3_specificity_calibration.py from repo-contained Figure 3 specificity/calibration source inputs.,Generated table dependency recorded; hash and row count verified.,Figure 3 calibration dependency only; empirical flag rates are not population-level false-positive rates.
10,tables/11_branch_unit_reliability_pass_matrix.csv,42,5a8742750e66d22f85ccfa0370c7fe29fafe6e3564f5f7c48588baec3738e304,Generated branch-unit reliability pass matrix,Generated by scripts/03_generate_branch_unit_reliability_tables.py from repo-contained branch-unit metric and contract metadata inputs.,Generated table dependency recorded; hash and row count verified.,"Branch-unit reliability dependency only; not evidence of exact geographic origin, ethnic identity, population continuity, or migration route."
11,tables/12_branch_unit_reliability_pass_pivot_summary.csv,7,b6751483437fa1e2de98c22379db87b2e9a4e5e495ee48b268a68a781c148feb,Generated branch-unit reliability pivot summary,Generated by scripts/03_generate_branch_unit_reliability_tables.py from repo-contained branch-unit metric and contract metadata inputs.,Generated table dependency recorded; hash and row count verified.,"Branch-unit reliability dependency only; not evidence of exact geographic origin, ethnic identity, population continuity, or migration route."
