ledger_order,reproducibility_unit,primary_files,current_repo_role,current_script_coverage,source_scope_boundary,claim_boundary
1,Main source-receiver audit-card summary,scripts/12_generate_main_table_1_audit_summaries.py; main_table_1_source_receiver_audit_cards.csv; 01_model_test_summary.csv; 26_benchmark_audit_card_matrix.csv,Summary of predefined audit-card outcomes and benchmark roles.,"The numbered Table 1 generator regenerates the compact model-test summary and audit-card matrix from the audited benchmark matrix, branch-unit reliability table, highlighted-contract table, lineage-role table, source-layer table, integrated-boundary summary, and Supplementary Figure S1 completion audit.",No additional repository analysis-generation step is required for these top-level summaries; upstream raw-source reconstruction is governed by the parent table scope boundaries.,"Summary outcomes are model-checking states under specified criteria; they are not evidence of exact geographic origin, ethnic identity, population continuity, migration route, or ancient-DNA confirmation."
2,Decision grammar and vocabulary bridge,02_lineage_role_tiers.csv; 03_evidence_layer_and_decision_state_definitions.csv; 31_computational_to_reported_vocabulary_alias_map.csv; source_data/figure_1/fig1_01_framework_steps.csv; source_data/figure_1/fig1_02_decision_state_matrix.csv; source_data/figure_1/fig1_03_claim_tiering_matrix.csv,"Repository definitions for lineage roles, decision states, claim tiers, and reported vocabulary used for traceability.",Figure 1 script validates its source manifest and renders the framework figure from these audited source files.,No raw-data generation is required for these definition files; maintain consistency when reported terminology changes.,"These files define interpretation rules; they do not add empirical evidence about origin, identity, continuity, route, or population probability."
3,Core source-layer coordinates,scripts/01_generate_yfull_source_receiver_reliability_tables.py; scripts/02_generate_source_layer_headline_coordinates.py; source_data/core_yfull/core_yfull_00_source_file_manifest.csv; source_data/core_yfull/source_receiver_reliability_atlas.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; source_data/core_headline_coordinates/core_headline_00_source_file_manifest.csv; 04_source_layers_and_headline_coordinates.csv; 13_source_receiver_highlight_contracts.csv; 14_yfull_reliability_atlas_background.csv; source_data/figure_2/fig2_01_atlas_background_plot_points.csv; source_data/figure_2/fig2_02_highlighted_focused_contracts.csv; source_data/figure_3/fig3_01_headline_coordinates.csv; source_data/figure_3/fig3_02_primary_yfull_plot_values.csv; source_data/figure_3/fig3_03_supporting_layer_values.csv,"Audited coordinate layer for the YFull atlas, highlighted contracts, and PH908/R1a headline contrasts.","The numbered YFull reliability script generates Tables 13 and 14 from repo-contained audited upstream atlas and highlight inputs; the numbered headline-coordinate script generates Table 4 from Table 13 plus repo-contained HRAS/YSEQ, FTDNA Discover, and evidence-layer inputs; Figure 2 and Figure 3 scripts validate manifests, row counts, hashes, and plotted source values.",Upstream raw-source reconstruction is outside the scope of this repository snapshot; this repository reproduces the reported analyses from the included audited source-data bundles.,"Coordinates support predefined source-receiver model checks only; they do not identify exact geographic origin, ethnic identity, continuity, route, or population-level probability."
4,Branch-unit reliability layer,scripts/03_generate_branch_unit_reliability_tables.py; source_data/core_branch_unit_reliability/core_branch_unit_00_source_file_manifest.csv; source_data/core_branch_unit_reliability/branch_unit_metric_source.csv; source_data/core_branch_unit_reliability/branch_unit_contract_metadata.csv; 11_branch_unit_reliability_pass_matrix.csv; 12_branch_unit_reliability_pass_pivot_summary.csv; source_data/figure_3/fig3_06_branch_unit_stability_overlay.csv,"Audited branch-resolution metric source, repository contract metadata, generated pass matrix, generated pivot summary, and compact branch-unit stability overlay for Figure 3.",The numbered branch-unit reliability script generates Tables 11 and 12 and the Figure 3 branch-unit stability overlay from repo-contained audited branch-unit metric and contract metadata inputs; Figure 3 validates the overlay and prevents its use as confidence or rarefaction evidence.,Upstream raw-source reconstruction is outside the scope of this repository snapshot; this repository reproduces the reported analyses from the included audited source-data bundles.,"Branch-unit states describe model stability under predefined branch-resolution rules; they are not confidence intervals and not evidence of origin, identity, continuity, or route."
5,Specificity and calibration trace,scripts/04_generate_figure3_specificity_calibration.py; source_data/core_figure3_specificity_calibration/core_figure3_specificity_calibration_00_source_file_manifest.csv; source_data/core_figure3_specificity_calibration/figure3_margin_permutation_metric_source.csv; source_data/core_figure3_specificity_calibration/figure3_threshold_calibration_source.csv; source_data/core_figure3_specificity_calibration/figure3_specificity_calibration_row_metadata.csv; 05_matched_r1a_comparator_calibration_summary.csv; source_data/figure_3/fig3_04_specificity_and_calibration_trace.csv,"Audited margin-separation, matched-block permutation, empirical T95 calibration, generated Table 5, and generated Figure 3 specificity/calibration trace.","The numbered Figure 3 specificity/calibration script generates Table 5 and the Figure 3 calibration trace from repo-contained audited metric, threshold-calibration, and row-metadata inputs; Figure 3 validates the reported calibration trace before rendering.",Upstream raw-source reconstruction is outside the scope of this repository snapshot; this repository reproduces the reported analyses from the included audited source-data bundles.,"Calibration rates are conditional audit diagnostics; they are not population-level false-positive rates and not evidence of origin, identity, continuity, or route."
6,Parser and log-base quality-control audits,scripts/08_generate_parser_and_log_base_quality_controls.py; source_data/core_parser_logbase_quality_control/core_parser_logbase_quality_control_00_source_file_manifest.csv; source_data/core_parser_logbase_quality_control/parser_headline_sensitivity_metric_source.csv; source_data/core_parser_logbase_quality_control/parser_failed_row_audit_source.csv; source_data/core_parser_logbase_quality_control/parser_logbase_rule_source.csv; 15_parser_headline_sensitivity.csv; 16_parser_failed_rows_action_table.csv; 17_diversity_contrast_log_base_audit.csv,"Audited and generated quality-control tables for parser exclusions, headline sensitivity, and the natural-log convention for D.",The numbered parser/log-base quality-control script regenerates Tables 15 and 16 from repo-contained parser-audit inputs and regenerates Table 17 by recomputing headline D from q2 components while treating adversarial sensitivity D rows as context checks.,Upstream parser-audit reconstruction from raw parsed public-tree rows is outside the scope of this repository snapshot; this repository reproduces the reported analyses from the included audited source-data bundles.,"Quality-control rows support reproducibility of calculations; they are not additional evidence about geographic origin, ethnic identity, population continuity, migration route, ancient-DNA status, or exhaustive parser correctness."
7,Conditioned denominator rank context,scripts/09_generate_conditioned_denominator_rank_context.py; source_data/core_conditioned_denominator_rank_context/core_conditioned_denominator_rank_context_00_source_file_manifest.csv; source_data/core_conditioned_denominator_rank_context/conditioned_denominator_metric_source.csv; source_data/core_conditioned_denominator_rank_context/conditioned_denominator_rank_rule_source.csv; 07_conditioned_denominator_summary.csv,Audited and generated conditioned-denominator rank context for PH908 within predefined denominator rules.,"The numbered conditioned-denominator script regenerates Table 7 from repo-contained denominator counts, family counts, PH908 rank inputs, and explicit percentile and empirical rank p-value formulas.",Upstream denominator-membership reconstruction from the complete candidate-root universe is outside the scope of this repository snapshot; this repository reproduces the reported analyses from the included audited source-data bundles.,"Ranks are defined only within the specified conditioned denominators; they are not global rarity, population-frequency, geographic-origin, ethnic-identity, population-continuity, or migration-route claims."
8,Adversarial sensitivity and matched-comparator envelope,scripts/05_generate_figure4_adversarial_sensitivity.py; source_data/core_figure4_adversarial_sensitivity/core_figure4_adversarial_sensitivity_00_source_file_manifest.csv; source_data/core_figure4_adversarial_sensitivity/figure4_adversarial_state_metric_source.csv; source_data/core_figure4_adversarial_sensitivity/figure4_adversarial_label_metadata.csv; 06_adversarial_sensitivity_summary.csv; source_data/figure_4/fig4_01_adversarial_sensitivity_plot_points.csv; source_data/figure_4/fig4_02_matched_r1a_envelope_thresholds.csv; source_data/figure_4/fig4_03_positive_control_recovery_trace.csv,"Audited stress-test layer for PH908 weak directional compatibility, matched R1a-comparator envelope entry, positive-control recovery, generated Table 6, and generated Figure 4 adversarial source files.","The numbered Figure 4 adversarial sensitivity script generates Table 6, adversarial plot points, matched R1a-comparator envelope thresholds, and positive-control recovery traces from repo-contained audited state metrics and label metadata; Figure 4 validates these source files before rendering.",Upstream raw-source reconstruction is outside the scope of this repository snapshot; this repository reproduces the reported analyses from the included audited source-data bundles.,"Weak directional compatibility is not load-bearing unless the matched-comparator criteria are met; it is not evidence of origin, identity, continuity, or route."
9,Visibility-burden and primary reversal summaries,scripts/06_generate_figure4_visibility_burden.py; source_data/core_figure4_visibility_burden/core_figure4_visibility_burden_00_source_file_manifest.csv; source_data/core_figure4_visibility_burden/figure4_primary_visibility_reversal_rule_source.csv; 30_figure_4_primary_visibility_bias_reversal_summary.csv; source_data/figure_4/fig4_05_source_visibility_burden_trace.csv; source_data/figure_4/fig4_09_primary_visibility_bias_reversal_summary.csv,Audited source-visibility burden and primary-layer reversal summaries for Figure 4.,The numbered Figure 4 visibility-burden script regenerates the adversarial-state visibility-burden trace from repo-contained adversarial metrics and regenerates the primary-layer reversal summary from core YFull highlighted contracts plus audited reversal rules; Figure 4 validates and plots these summaries.,Upstream raw-source reconstruction is outside the scope of this repository snapshot; this repository reproduces the reported analyses from the included audited source-data bundles.,"Visibility-burden values are sensitivity bounds, not population-size estimates, bias corrections, origin claims, identity claims, continuity claims, or route claims."
10,Synthetic degradation and rarefaction controls,scripts/07_generate_figure4_rarefaction_and_degradation.py; source_data/core_figure4_rarefaction_degradation/core_figure4_rarefaction_degradation_00_source_file_manifest.csv; source_data/core_figure4_rarefaction_degradation/figure4_equal_n_rarefaction_metric_source.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv; 27_figure_4_sensitivity_design_denominator_matrix.csv; 28_figure_4_synthetic_source_visibility_degradation_trace.csv; source_data/figure_4/fig4_06_equal_n_rarefaction_degradation_trace.csv; source_data/figure_4/fig4_08_synthetic_source_visibility_degradation_trace.csv,"Audited design matrix, core retained-visibility and rule inputs, generated equal-n rarefaction trace, and generated deterministic synthetic source-visibility degradation trace.",The numbered Figure 4 rarefaction/degradation script regenerates the equal-n rarefaction trace from audited count inputs and regenerates the synthetic degradation trace from Tables 11 and 26 plus retained-visibility and rule inputs.,Upstream raw-source reconstruction is outside the scope of this repository snapshot; this repository reproduces the reported analyses from the included audited source-data bundles.,"Synthetic degradation is an operating-characteristic stress test; it is not a population-size estimate and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
11,Ancient-DNA directness source trace,08_ancient_dna_directness_source_trace.csv; 18_ancient_y_directness_evidence_trace.csv; 19_direct_negative_control_eligibility_audit.csv; 21_supplementary_figure_s1_ancient_dna_plotted_points.csv; 22_supplementary_figure_s1_ph908_relic_footprint_locality_points.csv; source_data/supplementary_figure_s1/s1_01_ancient_dna_plotted_points.csv; source_data/supplementary_figure_s1/s1_02_ph908_relic_footprint_locality_points.csv; source_data/supplementary_figure_s1/s1_03_visibility_directness_by_region.csv; source_data/supplementary_figure_s1/s1_04_direct_negative_control_candidate_trace.csv,Audited point and region source trace for Supplementary Figure S1 direct negative-control eligibility.,Supplementary Figure S1 script validates source files and renders the map/table panel; no current script extracts these rows from original AADR or supplementary spreadsheet sources.,Upstream raw ancient-DNA source extraction is outside the scope of this repository snapshot; this repository reproduces the reported analyses from the included audited source-data bundles.,"Ancient-DNA directness rows do not supply positive PH908 evidence, direct negative evidence for PH908 absence, geographic origin, identity, continuity, or route."
