file_order,file_path,row_count,sha256,file_role,derivation_or_source_rule,audit_status,claim_boundary
1,source_data/figure_4/fig4_01_adversarial_sensitivity_plot_points.csv,10,e4f3bc001b59bd28aabaf6bbb26115b8729ea3e487be7b600d9c63a0392eb924,Figure 4 plotted PH908 adversarial sensitivity states,Generated by scripts/05_generate_figure4_adversarial_sensitivity.py from repo-contained adversarial state metrics with log10 A_s added for plotting.,Generated source file recorded; hash and row count verified.,"Figure 4 plot dependency only; weak directional compatibility is not load-bearing by itself and is not evidence of geographic origin, ethnic identity, population continuity, or migration route."
2,source_data/figure_4/fig4_02_matched_r1a_envelope_thresholds.csv,10,9d5084f9b4e7ea284bf07e91808b0b12d173f9eeedd457a22a5e647ccec4ec7c,Figure 4 state-matched R1a-comparator envelope thresholds,Generated by scripts/05_generate_figure4_adversarial_sensitivity.py from repo-contained PH908 and matched R1a-comparator adversarial state metrics.,Generated source file recorded; hash and row count verified.,"Envelope threshold dependency only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
3,source_data/figure_4/fig4_03_positive_control_recovery_trace.csv,10,43c3b61a767673b46cfa5aa1519601389b97ccc3843405ff91329429c9dd7824,Figure 4 positive-control recovery trace,Generated by scripts/05_generate_figure4_adversarial_sensitivity.py from repo-contained R-Z280 and R-M458 positive-control state metrics.,Generated source file recorded; hash and row count verified.,"Positive-control trace only; recovery calibrates the adversarial stress test and does not convert weak PH908 compatibility into geographic origin, ethnic identity, population continuity, or migration route evidence."
4,source_data/figure_4/fig4_05_source_visibility_burden_trace.csv,10,3a5271e35ba52bea921a5564246d6610abccce0c4e260bc10cf19d8f150088d1,Figure 4 adversarial-state source-visibility burden trace,Generated by scripts/06_generate_figure4_visibility_burden.py from repo-contained adversarial state metrics; records the additional source adequacy needed for each PH908 adversarial state to reach the matched R1a-comparator source-adequacy threshold.,Generated source file recorded; hash and row count verified.,"Visibility-burden dependency only; not a bias correction, not a population-size estimate, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
5,source_data/figure_4/fig4_09_primary_visibility_bias_reversal_summary.csv,4,5d46b93adeb9c1583c06464fe527db0e477ec0250999a1ee3cf2456b6c790deb,Figure 4 primary-layer visibility-bias reversal summary,Generated by scripts/06_generate_figure4_visibility_burden.py from repo-contained core YFull highlighted contracts and primary visibility-reversal rules.,Generated source file recorded; hash and row count verified.,"Primary reversal dependency only; sensitivity bound, not a population-size estimate, bias correction, geographic-origin claim, ethnic-identity claim, population-continuity claim, or migration-route claim."
6,source_data/figure_4/fig4_06_equal_n_rarefaction_degradation_trace.csv,48,d7fed6cd3b701d00d850bb0ffb37a1915267d33e5696387ce8ffbc65c1608cf8,Figure 4 equal-n rarefaction adequacy trace,"Generated by scripts/07_generate_figure4_rarefaction_and_degradation.py from repo-contained equal-n rarefaction metric counts; recomputes failed cells, positive fractions, adequacy-power states, and interpretations.",Generated source file recorded; hash and row count verified.,"Equal-n rarefaction dependency only; not a universal all-grid pass, not a standalone synthetic experiment, and not evidence of geographic origin, ethnic identity, population continuity, or migration route."
7,source_data/figure_4/fig4_08_synthetic_source_visibility_degradation_trace.csv,72,ab99145ec8ad80bf0076fccd622cd55fe1aa27b4f33ab95f0b4f64afba77b653,Figure 4 synthetic visibility-degradation controls,"Generated by scripts/07_generate_figure4_rarefaction_and_degradation.py from Tables 11 and 26 plus repo-contained retained-visibility and decision-rule inputs; recomputes synthetic A_s, country-visibility gates, and decision states.",Generated source file recorded; hash and row count verified.,"Synthetic degradation dependency only; operating-characteristic stress test, not a population-size estimate, geographic-origin claim, or migration-route claim."
8,source_data/figure_4/fig4_04_figure4_value_validation.csv,8,5ce8c604845799c8422d433513bcc2d5737a10a2d32cc2af54cc1225d2d93174,Figure 4 adversarial sensitivity value validation,"Checks adversarial row counts, weak compatibility count, matched-envelope entry count, positive-control status, envelope gap, Table 6 consistency, and missing plotted values.",Generated source file recorded; hash and row count verified.,"Adversarial-sensitivity audit dependency only; not evidence of geographic origin, ethnic identity, population continuity, or migration route."
9,source_data/figure_4/fig4_07_visibility_mask_sensitivity_validation.csv,16,2a9cf3a93ec9a327628ad177e101bc38692a62424c0db415a7e4e1753fd1e64b,Figure 4 expanded source-bundle value validation,"Checks adversarial state count, weak compatibility count, matched-envelope entry count, positive-control recovery, visibility-burden multiplier, primary reversal values, equal-n rarefaction summaries, low-common-n failure concentration, synthetic degradation no-call boundary, and PH908-like A_s absence.",Generated source file recorded; hash and row count verified.,"Expanded Figure 4 audit dependency only; supports sensitivity and adequacy boundaries, not geographic origin, ethnic identity, population continuity, migration route, or population-level probability."
10,source_data/figure_4/fig4_source_bundle_note.md,not_applicable,706d07bcebebc93e0d22ec3285561b7d7269ff4b7c0e35b0b6ba51ed75c6931a,Figure 4 source-bundle note,"Defines expanded source-bundle scope, generated analysis layers, source-receiver field meanings, and interpretation boundaries.",Source note recorded; hash verified.,"Figure 4 source-data dependency only; not evidence of geographic origin, ethnic identity, population continuity, migration route, or population-level probability."
