"lineage_or_group","family","reported_role","reported_use","claim_boundary"
"E-M81","E","Main non-target comparison","North Africa/Maghreb-oriented comparison model evaluated against an external-source alternative","Does not validate all E lineages or all North Africa/Maghreb source-receiver hypotheses"
"J-P58 within J-M267/J1 context","J","Supporting non-target comparison","Additional source-receiver comparison within the retained J-M267/J1 context","The parent J-M267/J1 context is retained, but the scoreable lineage is J-P58"
"R-Z280","R","Matched R1a comparator","Eastern Europe/Russia-to-Balkans source-receiver comparator for PH908","Comparator status does not imply an origin claim for PH908"
"R-M458","R","Matched R1a comparator","Eastern Europe/Russia-to-Balkans source-receiver comparator for PH908","Comparator status does not imply an origin claim for PH908"
"R-P312","R","Calibration control","Source-consistent calibration behavior","Control is not treated as a source-receiver target comparison"
"R-U106","R","Calibration control","Source-consistent calibration behavior","Control is not treated as a source-receiver target comparison"
"I-PH908","I","Held-out target comparison","Test of R1a-comparator Eastern Europe/Russia-to-Balkans source-receiver compatibility","Result does not support the tested model and does not establish origin"
"O-M119/O-M122","O","Support-only diagnostic context","Non-E/J/R portability stress test","Compatible at broad labels but demoted because branch-unit reliability is limited"
"H-M82","H","Boundary/stress case","Diaspora/founder-context stress case","Not treated as load-bearing evidence in the current analysis"
"E-M2","E","Boundary/stress case","Diaspora/source-receiver stress case","Not treated as load-bearing evidence in the current analysis"
"C-M217","C","Boundary/stress case","Source/corridor-complexity stress case","Not treated as load-bearing evidence in the current analysis"
"Q-M3","Q","Boundary/no-call candidate","Trans-Beringian source-receiver no-call candidate","Not treated as load-bearing evidence in the current analysis"
"N-L1026","N","Boundary/no-call candidate","Uralic/Volga-Ural source-receiver no-call candidate","Not treated as load-bearing evidence in the current analysis"
"R-Z93","R","Boundary/stress case","Steppe, Central Asian and South Asian corridor stress system","Multiple contrasts are not counted as independent validation"
"E-V13","E","Boundary/stress case","Balkan/West Asian source-receiver stress system","Requires branch-specific adjudication before load-bearing use"
"J-M172","J","Boundary/stress case","Broad West Asian, Caucasus and Balkan mixed structure","Too broad for load-bearing source-receiver inference"
"I-L621/I-M423/I-P37","I","Boundary family context","Wider I2 context only","Not used to generalize PH908 findings to all I2 lineages"
