plot_order,branch_resolution_layer,ambiguity_handling_mode,source_mask,matched_R1a_comparator_envelope_rule,minimum_matched_R1a_source_adequacy_A_s,log10_minimum_matched_R1a_source_adequacy_A_s,maximum_matched_R1a_diversity_contrast_D,R_Z280_source_adequacy_A_s,R_Z280_diversity_contrast_D,R_M458_source_adequacy_A_s,R_M458_diversity_contrast_D,PH908_source_adequacy_A_s,PH908_diversity_contrast_D,PH908_A_s_gap_to_envelope,PH908_D_gap_to_envelope,PH908_enters_envelope,source_summary_file,claim_boundary
1,Deepest observed branch layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,8.895833,0.949187,-2.091958,8.895833,-2.091958,9.775000,-2.254574,3.600000,-1.418520,5.295833,0.673439,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
2,Count-balanced frontier layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,8.895833,0.949187,-0.248320,8.895833,-0.589851,9.775000,-0.248320,1.607143,-1.931936,7.288690,-1.683616,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
3,Depth-3 cutset layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,8.895833,0.949187,-0.248320,8.895833,-0.589851,9.775000,-0.248320,1.607143,-1.931936,7.288690,-1.683616,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
4,Depth-2 cutset layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,8.895833,0.949187,0.085476,8.895833,-0.423059,9.775000,0.085476,1.578947,-1.638557,7.316886,-1.724033,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
5,Deepest observed branch layer,Ambiguous assignments excluded,"Eastern, Northern and Western Europe source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,4.631944,0.665763,-1.549329,4.631944,-1.549329,7.375000,-2.037859,2.360000,-1.230308,2.271944,0.319021,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
6,Direct-child cutset layer,Ambiguous assignments included,"All non-Balkan, non-diaspora source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,8.895833,0.949187,0.085482,8.895833,-0.383467,9.775000,0.085482,2.903226,-0.670378,5.992608,-0.755860,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
7,Count-balanced frontier layer,Ambiguous assignments excluded,"Eastern, Northern and Western Europe source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,4.631944,0.665763,-0.229932,4.631944,-0.566189,7.375000,-0.229932,1.053571,-1.659512,3.578373,-1.429579,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
8,Depth-3 cutset layer,Ambiguous assignments excluded,"Eastern, Northern and Western Europe source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,4.631944,0.665763,-0.229932,4.631944,-0.566189,7.375000,-0.229932,1.053571,-1.659512,3.578373,-1.429579,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
9,Depth-2 cutset layer,Ambiguous assignments excluded,"Eastern, Northern and Western Europe source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,4.631944,0.665763,0.080455,4.631944,-0.381220,7.375000,0.080455,1.035088,-1.391850,3.596857,-1.472305,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
10,Direct-child cutset layer,Ambiguous assignments excluded,"All non-Balkan, non-diaspora source mask",Within-state envelope requires PH908 A_s to meet or exceed the less stringent matched R1a comparator A_s threshold and D to meet or fall below the less stringent matched R1a comparator D threshold.,4.631944,0.665763,0.080466,4.631944,-0.348678,7.375000,0.080466,1.935484,-0.573682,2.696461,-0.654149,No,tables/06_adversarial_sensitivity_summary.csv,"Matched R1a-comparator envelope threshold only; comparator recovery calibrates the stress test and does not identify PH908 geographic origin, ethnic identity, population continuity, or migration route."
