source_publication_label,reference_title_if_verified,doi_or_url_evidence,metadata_evidence_source,plotted_rows,visible_comparator_rows,countries_represented,unique_site_or_location_count,source_dataset_labels,source_file_or_table_trace,reference_label_audit_status,s1_use,claim_boundary
"Akbari et al., Nature 2026",Ancient DNA reveals pervasive directional selection across West Eurasia,https://doi.org/10.1038/s41586-026-10358-1,PubMed/Nature metadata checked 2026-07-02; retained AADR source rows lack DOI in the local DOI field,17,9,Albania; Croatia; North Macedonia; Serbia; Slovenia,11,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Allentoft et al., Nature 2015",Population genomics of Bronze Age Eurasia,https://doi.org/10.1038/nature14507,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,5,0,Hungary; Montenegro,3,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Amorim et al., Nature Communications 2018",Understanding 6th-century barbarian social organization and migration through paleogenomics,https://doi.org/10.1038/s41467-018-06024-4,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,35,9,Hungary,1,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Aneli et al., Molecular Biology and Evolution 2022",The Genetic Origin of Daunians and the Pan-Mediterranean Southern Italian Iron Age Context,https://doi.org/10.1093/molbev/msac014,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,6,0,Italy,3,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Antonio et al., Science 2019",Ancient Rome: A genetic crossroads of Europe and the Mediterranean,https://doi.org/10.1126/science.aay6826,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,2,0,Italy,2,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Antonio et al., eLife 2024","Stable population structure in Europe since the Iron Age, despite high mobility",https://doi.org/10.7554/eLife.79714,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,45,12,Croatia; Montenegro; Serbia; Slovenia,20,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Armit et al., Antiquity 2023","Kinship practices in Early Iron Age South-east Europe: genetic and isotopic analysis of burials from the Dolge njive barrow cemetery, Dolenjska, Slovenia",https://doi.org/10.15184/aqy.2023.2,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,9,6,Slovenia,1,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Damgaard et al., Nature 2018",137 ancient human genomes from across the Eurasian steppes,https://doi.org/10.1038/s41586-018-0094-2,AADR v66 source row DOI/repository fields; title checked against DOI/publication metadata,3,1,Hungary,1,AADR v66 1240K public annotation,AADR v66 public annotation source rows in s1_15,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Freilich et al., Scientific Reports 2021",Reconstructing genetic histories and social organisation in Neolithic and Bronze Age Croatia,https://doi.org/10.1038/s41598-021-94932-9,Nature Scientific Reports article page checked 2026-07-02,8,5,Croatia,3,"AADR v66 1240K public annotation; Freilich et al., Scientific Reports 2021 supplementary source table",published supplementary source table retained in the S1 plotted-point source row; DOI recorded in s1_14,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
"Gretzinger et al., Nature 2025",Ancient DNA connects large-scale migration with the spread of Slavs,https://doi.org/10.1038/s41586-025-09437-6,Nature article page / PubMed metadata checked 2026-07-02,32,18,Croatia,1,"Gretzinger et al., Nature 2025 Supplementary Table S1",gretzinger_2025_supplementary_data_tables_1_51.xlsx,Bibliographic label with DOI/URL evidence present,Ancient-DNA plotted point source or marker annotation source for Supplementary Figure S1,"Source-reference coverage for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
