"section","item","context","source-adequacy_A_s","terminal_ln(Q2)_contrast_D","bounded_direct-child_D_not_terminal_Q2","status_or_limitation"
"Evidence layer","YFull","Scoreable branch-resolved layer","","","","Primary branch-resolved layer for the PH908/R1a source-receiver comparator contrast; public-tree evidence layer and not an independent population sample"
"Evidence layer","HRAS/YSEQ","Scoreable branch-resolved layer","","","","Additional geography-bearing branch-resolved support for the PH908/R1a contrast; supports the source-receiver comparison but does not substitute for direct ancient-DNA evidence"
"Evidence layer","FTDNA Discover","Bounded direct-child source-adequacy layer","","","","Bounded support for source-adequacy assessment and direct-child country structure; not terminal branch-country Q2 evaluation"
"Evidence layer","Srpski DNK project","Bounded regional receiver-side layer","","","","Receiver-side PH908 branch-architecture context; not a full Eastern Europe/Russia-to-Balkans source-receiver replication"
"Evidence layer","UYSD","Topology-only context","","","","PH908 structural-visibility and topology context; no usable geography-bearing PH908 source-receiver statistic in the current analysis"
"Evidence layer","Ancient-DNA directness audit","Bounded contextual layer","","","","Defines whether published ancient-DNA records satisfy predefined directness criteria; should not be interpreted as positive ancient-DNA evidence for PH908 or as source-receiver replication"
"Headline coordinate","I-PH908","YFull primary comparison: Eastern Europe/Russia-to-Balkans","0.214","1.323","","Stable rejection of the specified source-receiver hypothesis under predefined criteria; D is scale-sensitive"
"Headline coordinate","R-Z280","YFull primary comparison: Eastern Europe/Russia-to-Balkans","8.896","-2.092","","Source-receiver-compatible comparator under predefined criteria"
"Headline coordinate","R-M458","YFull primary comparison: Eastern Europe/Russia-to-Balkans","9.775","-2.255","","Source-receiver-compatible comparator under predefined criteria; D is scale-sensitive"
"Headline coordinate","I-PH908","HRAS/YSEQ supporting comparison: Balkans-Eastern Europe contrast","0.202","1.392","","Supporting branch-resolved comparison"
"Headline coordinate","R-Z280","HRAS/YSEQ supporting comparison: Balkans-Eastern Europe contrast","8.242","-2.113","","Supporting branch-resolved comparison"
"Headline coordinate","R-M458","HRAS/YSEQ supporting comparison: Balkans-Eastern Europe contrast","9.857","-2.249","","Supporting branch-resolved comparison"
"Headline coordinate","I-PH908","FTDNA Discover bounded comparison: Balkans-Eastern Europe contrast","0.486","","not comparable: -0.191","Bounded direct-child source-adequacy support only; direct-child D is not terminal Q2 D"
"Headline coordinate","R-Z280","FTDNA Discover bounded comparison: Balkans-Eastern Europe contrast","9.471","","not comparable: -0.381","Bounded direct-child source-adequacy support only; direct-child D is not terminal Q2 D"
"Headline coordinate","R-M458","FTDNA Discover bounded comparison: Balkans-Eastern Europe contrast","17.072","","not comparable: 0.061","Bounded direct-child source-adequacy support only; direct-child D is not terminal Q2 D"
